Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.02     59.02     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a4d)
  0.02     59.03     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9a56)
  0.02     59.04     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9a71)
  0.02     59.05     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9abd)
  0.02     59.06     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b5d)
  0.02     59.07     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b67)
  0.02     59.08     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bc0)
  0.02     59.09     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bdf)
  0.02     59.10     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bed)
  0.02     59.11     0.01                             blake2b_increment_counter (blake2b-ref.c:68 @ 9d90)
  0.02     59.12     0.01                             blake2b_increment_counter (blake2b-ref.c:68 @ 9da5)
  0.02     59.13     0.01                             blake2b_update (blake2b-ref.c:246 @ 9d11)
  0.02     59.14     0.01                             blake2b_update (blake2b-ref.c:235 @ 9d68)
  0.02     59.15     0.01                             rotr64 (blake2-impl.h:155 @ 85b8)
  0.02     59.16     0.01                             rotr64 (blake2-impl.h:155 @ 860c)
  0.02     59.17     0.01                             rotr64 (blake2-impl.h:155 @ 87c1)
  0.02     59.18     0.01                             rotr64 (blake2-impl.h:155 @ 87fd)
  0.02     59.19     0.01                             rotr64 (blake2-impl.h:155 @ 88b4)
  0.02     59.20     0.01                             rotr64 (blake2-impl.h:155 @ 88dd)
  0.02     59.21     0.01                             rotr64 (blake2-impl.h:155 @ 893a)
  0.02     59.22     0.01                             rotr64 (blake2-impl.h:155 @ 89a4)
  0.02     59.23     0.01                             rotr64 (blake2-impl.h:155 @ 89cc)
  0.02     59.24     0.01                             rotr64 (blake2-impl.h:155 @ 8a9e)
  0.02     59.25     0.01                             rotr64 (blake2-impl.h:155 @ 8ae8)
  0.02     59.26     0.01                             rotr64 (blake2-impl.h:155 @ 8b32)
  0.02     59.27     0.01                             rotr64 (blake2-impl.h:155 @ 8bbd)
  0.02     59.28     0.01                             rotr64 (blake2-impl.h:155 @ 8bd8)
  0.02     59.29     0.01                             rotr64 (blake2-impl.h:155 @ 8d15)
  0.02     59.30     0.01                             rotr64 (blake2-impl.h:155 @ 8d25)
  0.02     59.31     0.01                             rotr64 (blake2-impl.h:155 @ 8e2f)
  0.02     59.32     0.01                             rotr64 (blake2-impl.h:155 @ 8f13)
  0.02     59.33     0.01                             rotr64 (blake2-impl.h:155 @ 8f41)
  0.02     59.34     0.01                             rotr64 (blake2-impl.h:155 @ 902e)
  0.02     59.35     0.01                             rotr64 (blake2-impl.h:155 @ 9045)
  0.02     59.36     0.01                             rotr64 (blake2-impl.h:155 @ 905d)
  0.02     59.37     0.01                             rotr64 (blake2-impl.h:155 @ 9071)
  0.02     59.38     0.01                             rotr64 (blake2-impl.h:155 @ 90ae)
  0.02     59.39     0.01                             rotr64 (blake2-impl.h:155 @ 9131)
  0.02     59.40     0.01                             rotr64 (blake2-impl.h:155 @ 92f7)
  0.02     59.41     0.01                             rotr64 (blake2-impl.h:155 @ 938e)
  0.02     59.42     0.01                             rotr64 (blake2-impl.h:155 @ 93b5)
  0.02     59.43     0.01                             rotr64 (blake2-impl.h:155 @ 940c)
  0.02     59.44     0.01                             rotr64 (blake2-impl.h:155 @ 9431)
  0.02     59.45     0.01                             rotr64 (blake2-impl.h:155 @ 9481)
  0.02     59.46     0.01                             rotr64 (blake2-impl.h:155 @ 949f)
  0.02     59.47     0.01                             rotr64 (blake2-impl.h:155 @ 94f1)
  0.02     59.48     0.01                             rotr64 (blake2-impl.h:155 @ 9527)
  0.02     59.49     0.01                             rotr64 (blake2-impl.h:155 @ 95af)
  0.02     59.50     0.01                             rotr64 (blake2-impl.h:155 @ 95ec)
  0.02     59.51     0.01                             rotr64 (blake2-impl.h:155 @ 96ad)
  0.02     59.52     0.01                             rotr64 (blake2-impl.h:155 @ 970e)
  0.02     59.53     0.01                             rotr64 (blake2-impl.h:155 @ 97dd)
  0.02     59.54     0.01                             rotr64 (blake2-impl.h:155 @ 9893)
  0.02     59.55     0.01                             rotr64 (blake2-impl.h:155 @ 98e0)
  0.02     59.56     0.01                             rotr64 (blake2-impl.h:155 @ 999e)
  0.02     59.57     0.01                             rotr64 (blake2-impl.h:155 @ 99f2)
  0.02     59.58     0.01                             rotr64 (blake2-impl.h:155 @ 9a53)
  0.02     59.59     0.01                             rotr64 (blake2-impl.h:155 @ 9a6d)
  0.02     59.60     0.01                             rotr64 (blake2-impl.h:155 @ 9b00)
  0.02     59.61     0.01                             rotr64 (blake2-impl.h:155 @ 9b93)
  0.02     59.62     0.01                             rotr64 (blake2-impl.h:155 @ 9bbc)
  0.02     59.63     0.01                             rotr64 (blake2-impl.h:155 @ 9c4d)
  0.02     59.64     0.01                             rotr64 (blake2-impl.h:155 @ 9c78)
  0.02     59.65     0.01                             rs_block_match_init (sumset.c:59 @ 4742)
  0.02     59.66     0.01                             rs_infilebuf_fill (buf.c:126 @ 55d1)
  0.02     59.67     0.01                             rs_job_work (job.c:126 @ 67db)
  0.02     59.68     0.01                             rs_scoop_total_avail (scoop.c:230 @ 824a)
  0.02     59.69     0.01                             rs_tube_copy_from_scoop (tube.c:102 @ 8373)
  0.01     59.70     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86a0)
  0.01     59.70     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86a9)
  0.01     59.71     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86df)
  0.01     59.71     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8713)
  0.01     59.72     0.01                             blake2b_compress (blake2b-ref.c:200 @ 878d)
  0.01     59.72     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8942)
  0.01     59.73     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8956)
  0.01     59.73     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8a73)
  0.01     59.74     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8aa2)
  0.01     59.74     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8ab7)
  0.01     59.75     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8aec)
  0.01     59.75     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8b14)
  0.01     59.76     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b39)
  0.01     59.76     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b4d)
