Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.01    110.65     0.01                             rs_job_work (job.c:125 @ 67d0)
  0.01    110.66     0.01                             rs_loadsig_s_strong (readsums.c:77 @ 7d2f)
  0.01    110.67     0.01                             rs_loadsig_s_strong (readsums.c:82 @ 7d6f)
  0.01    110.68     0.01                             rs_scoop_input (scoop.c:69 @ 7f97)
  0.01    110.69     0.01                             rs_scoop_input (scoop.c:102 @ 801e)
  0.01    110.70     0.01                             rs_scoop_input (scoop.c:88 @ 8050)
  0.01    110.71     0.01                             rs_scoop_read (scoop.c:197 @ 81b8)
  0.01    110.72     0.01                             rs_scoop_readahead (scoop.c:153 @ 8111)
  0.01    110.73     0.01                             rs_scoop_readahead (scoop.c:149 @ 811c)
  0.01    110.74     0.01                             rs_scoop_readahead (scoop.c:179 @ 817e)
  0.01    110.75     0.01                             rs_scoop_readahead (scoop.c:179 @ 8197)
  0.01    110.76     0.01                             rs_suck_n4 (netint.c:117 @ 768a)
  0.01    110.77     0.01                             rs_tube_copy (tube.c:183 @ 8454)
  0.01    110.78     0.01                             rs_tube_write (tube.c:199 @ 848e)
  0.01    110.79     0.01                             secure_zero_memory (blake2-impl.h:162 @ a156)
  0.01    110.80     0.01                             store64 (blake2-impl.h:112 @ a130)
  0.01    110.81     0.01                             uint32_pow (rabinkarp.h:64 @ 5f54)
  0.01    110.82     0.01                             uint32_pow (rabinkarp.h:66 @ 5f58)
  0.00    110.83     0.01  1048578     4.77     4.77  rs_scoop_total_avail (scoop.c:228 @ 8230)
  0.00    110.83     0.01   654956     7.64     7.64  blake2b_init_param (blake2b-ref.c:82 @ 9e00)
  0.00    110.84     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8696)
  0.00    110.84     0.01                             blake2b_compress (blake2b-ref.c:201 @ 87b1)
  0.00    110.85     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8837)
  0.00    110.85     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8a32)
  0.00    110.86     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8a6c)
  0.00    110.86     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8ae2)
  0.00    110.87     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8aec)
  0.00    110.87     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8bd2)
  0.00    110.88     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8bf7)
  0.00    110.88     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c5a)
  0.00    110.89     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8deb)
  0.00    110.89     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8ea2)
  0.00    110.90     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8ee7)
  0.00    110.90     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f92)
  0.00    110.91     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91ab)
  0.00    110.91     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91f3)
  0.00    110.92     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9262)
